"filename", "language", "XML", "Database", "C#", "JSON", "Properties", "Markdown", "JavaScript", "HTML", "TypeScript", "SCSS", "CSS", "comment", "blank", "total"
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/AdminAccount/AccountSetting/AccountSetting.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 3, 9, 44
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/AdminAccount/AdminAccount.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 3, 53
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/AdminAccount/AdminAccount.routing.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 2, 32
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/AdminAccount/Collaboration/Collaboration.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 1, 0, 41
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/AdminAccount/Collaboration/Collaboration.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/AdminAccount/Collaboration/Collaboration.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 14, 13, 80
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/AdminAccount/EditProfile/EditProfile.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 1, 0, 50
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/AdminAccount/EditProfile/EditProfile.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/AdminAccount/EditProfile/EditProfile.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 4, 8, 67
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/AdminAccount/Profile/Profile.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 1, 35
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/AdminAccount/Profile/Profile.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/AdminAccount/Profile/Profile.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 5, 16
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Core/Menu/MenuItems/MenuItems.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 5, 60
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Core/Menu/MenuToggle.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Core/Menu/MenuToggle/MenuToggle.directive.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 9, 38
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Core/Menu/MenuToggle/MenuToggleAnchor.directive.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 6, 21
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Core/Menu/MenuToggle/MenuToggleLink.directive.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 12, 54
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Core/Menu/MenuToggle/index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Invoices/Invoices.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 3, 32
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Invoices/Invoices.routing.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Invoices/Invoices/Invoices.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 3, 0, 70
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Invoices/Invoices/Invoices.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Invoices/Invoices/Invoices.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 11, 15, 74
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Main/Main.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 3, 1, 26
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Main/Main.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Main/Main.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 10, 16, 94
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Products/AddProduct/AddProduct.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 6, 1, 115
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Products/AddProduct/AddProduct.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Products/AddProduct/AddProduct.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 3, 9, 57
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Products/EditProduct/EditProduct.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 7, 1, 114
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Products/EditProduct/EditProduct.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Products/EditProduct/EditProduct.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 6, 12, 101
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Products/Products.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 3, 60
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Products/Products.routing.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 2, 34
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Products/Products/Products.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 163, 0, 0, 0, 10, 1, 174
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Products/Products/Products.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Products/Products/Products.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 13, 12, 92
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Reports/Reports.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 2, 37
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Reports/Reports.routing.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Reports/Reports/Reports.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 190, 0, 0, 0, 10, 1, 201
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Reports/Reports/Reports.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Reports/Reports/Reports.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 2, 12, 50
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Service/AdminPanelService.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 11, 16, 89
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Shared/Header/Header.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 1, 18
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Shared/Header/Header.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Shared/Header/Header.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 3, 7, 30
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Shared/MenuListItems/MenuListItems.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 1, 0, 34
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Shared/MenuListItems/MenuListItems.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Shared/MenuListItems/MenuListItems.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 6, 23
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Shared/SideBar/SideBar.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 0, 12
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Shared/SideBar/SideBar.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Shared/SideBar/SideBar.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 7, 20
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Widget/Charts/BuySellChart/BuySellChart.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Widget/Charts/BuySellChart/BuySellChart.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Widget/Charts/BuySellChart/BuySellChart.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 1, 6, 49
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Widget/HeaderUserProfileDropdown/HeaderUserProfileDropdown.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 1, 11
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Widget/HeaderUserProfileDropdown/HeaderUserProfileDropdown.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Widget/HeaderUserProfileDropdown/HeaderUserProfileDropdown.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 1, 6, 23
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Widget/Menu/TopsideMenu/TopsideMenu.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 2, 2, 23
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Widget/Menu/TopsideMenu/TopsideMenu.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Widget/Menu/TopsideMenu/TopsideMenu.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 6, 7, 32
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Widget/PopUp/AddNewUser/AddNewUser.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 1, 0, 47
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Widget/PopUp/AddNewUser/AddNewUser.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Widget/PopUp/AddNewUser/AddNewUser.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 1, 5, 30
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Widget/PopUp/DeleteListDialog/DeleteListDialog.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Widget/PopUp/DeleteListDialog/DeleteListDialog.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/Widget/PopUp/DeleteListDialog/DeleteListDialog.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 7, 26
